CC_PROPERTY_ID,SITUSCITY,SITUSZIP5,pre_bedrooms,pre_full_baths,pre_half_baths,pre_gla_sqft,pre_rooms,pre_garage_spaces,pre_observations,post_bedrooms,post_full_baths,post_half_baths,post_gla_sqft,post_rooms,post_garage_spaces,post_observations,treatment_date,days_observed,change_bedrooms,change_full_baths,change_half_baths,change_gla_sqft,change_rooms,change_garage_spaces,pct_change_gla
89092295,albany,12209,2.0,2.0,,1376.0,5.0,2.0,14,3.0,2.0,,1253.0,5.0,,12,2019-09-09 21:53:24,2218,1.0,0.0,,-123.0,0.0,,-8.938953488372094
89092343,albany,12209,3.0,1.0,,1194.0,6.0,,6,3.0,2.0,,1152.0,6.0,,14,2019-10-17 12:58:36,1915,0.0,1.0,,-42.0,0.0,,-3.5175879396984926
89092478,albany,12209,3.0,1.0,,1455.0,7.0,,6,3.0,2.0,,1486.0,6.0,4.1,19,2023-11-04 22:24:22,479,0.0,1.0,,31.0,-1.0,,2.1305841924398625
89092565,albany,12209,2.0,1.0,,1214.0,6.0,,14,3.0,1.0,,1190.0,6.0,,20,2019-10-01 23:55:20,2134,1.0,0.0,,-24.0,0.0,,-1.9769357495881383
89092589,albany,12208,3.0,2.0,,1514.0,7.0,1.6666666666666667,14,4.0,2.0,,1492.0,5.0,,10,2018-02-05 12:22:44,2582,1.0,0.0,,-22.0,-2.0,,-1.453104359313078
89092625,albany,12209,1.0,1.0,,934.0,6.0,1.0,11,3.0,1.0,,952.9714285714285,6.0,1.5333333333333334,39,2023-03-03 00:07:16,926,2.0,0.0,,18.971428571428532,0.0,0.5333333333333334,2.031202202508408
89092652,albany,12209,3.0,2.0,,1386.6666666666667,7.0,2.0,38,4.0,2.0,,1455.0,7.0,,24,2019-08-07 13:03:33,2582,1.0,0.0,,68.33333333333326,0.0,,4.92788461538461
89092808,albany,12210,3.0,1.0,,1301.0,6.0,1.0,8,3.0,2.0,,1301.0,6.0,1.0,29,2018-02-02 00:10:13,2216,0.0,1.0,,0.0,0.0,0.0,0.0
89092850,albany,12208,1.0,1.0,,938.0,1.0,,8,4.0,1.0,,700.0,4.0,,8,2019-08-07 13:05:53,1664,3.0,0.0,,-238.0,3.0,,-25.37313432835821
89092901,albany,12210,1.0,1.0,,1014.4285714285714,5.0,,24,3.0,1.0,1.0,1068.0,,,7,2023-07-26 13:22:45,2030,2.0,0.0,,53.571428571428555,,,5.280946345585128
89092955,albany,12210,2.0,1.0,,1103.0,5.0,1.0,8,3.0,2.0,,1174.6206896551723,5.586206896551724,1.103448275862069,33,2018-05-23 13:01:03,2474,1.0,1.0,,71.62068965517233,0.5862068965517242,0.10344827586206895,6.493262888048262
89092958,albany,12208,3.0,1.0,,1274.0,5.0,,8,5.0,1.0,,1276.0,5.0,,8,2019-08-07 13:03:33,1583,2.0,0.0,,2.0,0.0,,0.15698587127158556
89092991,albany,12210,2.0,1.0,,923.3529411764706,5.0,1.0,21,3.0,2.0,,1210.0,5.0,,11,2022-12-21 02:33:14,1357,1.0,1.0,,286.6470588235294,0.0,,31.04414856341976
89093039,albany,12210,1.0,1.0,,923.0,4.0,,6,3.0,1.0,,960.0,5.0,,6,2023-12-05 21:43:46,448,2.0,0.0,,37.0,1.0,,4.008667388949079
89093075,albany,12209,2.0,1.0,,1715.0,9.0,,8,3.0,1.0,,1724.75,8.0,,16,2019-08-07 13:02:45,2208,1.0,0.0,,9.75,-1.0,,0.5685131195335277
89093282,albany,12208,3.0,2.0,,1615.6666666666667,6.0,,12,4.0,2.0,,2365.5,8.0,,8,2019-08-07 13:03:17,2030,1.0,0.0,,749.8333333333333,2.0,,46.41015060862389
89093450,albany,12202,2.0,1.0,,1026.0,5.0,1.0,7,3.0,1.0,,1026.0,5.0,1.5384615384615385,13,2022-07-09 09:32:06,963,1.0,0.0,,0.0,0.0,0.5384615384615385,0.0
89093498,albany,12202,3.0,2.0,,1510.0,8.0,1.0,2,4.0,2.0,,1508.6666666666667,8.0,1.0,6,2024-08-29 14:16:04,55,1.0,0.0,,-1.3333333333332575,0.0,0.0,-0.08830022075054686
89093624,albany,12207,2.0,2.0,,1307.764705882353,5.705882352941177,,23,3.0,2.0,,1311.875,5.25,,40,2018-09-24 18:43:57,2347,1.0,0.0,,4.110294117647072,-0.4558823529411766,,0.31429920834832775
89093645,albany,12209,2.0,1.0,,883.6315789473684,4.894736842105263,2.0,27,3.0,1.0,,,5.0,2.0,1,2022-04-12 19:24:54,1666,1.0,0.0,,,0.10526315789473717,0.0,
89093708,albany,12209,2.0,1.0,,1000.0,4.0,,4,3.0,2.0,,1114.5681818181818,5.365853658536586,,55,2019-10-29 21:29:31,2141,1.0,1.0,,114.56818181818176,1.3658536585365857,,11.456818181818175
89093729,albany,12209,3.0,2.0,,1388.0,,,8,4.0,2.0,,1428.5,4.5,,10,2022-04-20 13:21:30,2311,1.0,0.0,,40.5,,,2.9178674351585014
89093840,albany,12209,2.0,1.0,,1256.3478260869565,5.619047619047619,1.1428571428571428,41,2.0,2.0,,1169.0,6.0,2.0,32,2022-09-13 19:27:03,2582,0.0,1.0,,-87.3478260869565,0.3809523809523814,0.8571428571428572,-6.95251937984496
89093876,albany,12202,3.0,1.0,,1500.0,7.0,,9,3.0,2.0,,1500.0,5.0,,12,2023-07-02 01:05:40,585,0.0,1.0,,0.0,-2.0,,0.0
89093888,albany,12202,3.0,2.0,,1289.2857142857142,6.0,,9,4.0,2.0,1.0,1080.0,7.0,,2,2018-01-31 22:03:16,2134,1.0,0.0,,-209.28571428571422,1.0,,-16.232686980609415
