CC_PROPERTY_ID,SITUSCITY,SITUSZIP5,pre_bedrooms,pre_full_baths,pre_half_baths,pre_gla_sqft,pre_rooms,pre_garage_spaces,pre_observations,post_bedrooms,post_full_baths,post_half_baths,post_gla_sqft,post_rooms,post_garage_spaces,post_observations,treatment_date,days_observed,change_bedrooms,change_full_baths,change_half_baths,change_gla_sqft,change_rooms,change_garage_spaces,pct_change_gla
89087405,albany,12203,3.0,2.0,1.0,2044.0,8.0,2.0,6,4.0,2.0,1.2222222222222223,2531.6521739130435,9.826086956521738,,27,2020-06-27 16:41:54,1705,1.0,0.0,0.22222222222222232,487.6521739130435,1.8260869565217384,,23.85773844975751
89087525,albany,12206,2.0,2.0,,2165.0,8.0,2.0,6,3.0,2.0,,2143.8888888888887,8.0,1.8571428571428572,32,2018-01-31 22:03:16,2135,1.0,0.0,,-21.111111111111313,0.0,-0.1428571428571428,-0.9751090582499452
89087570,albany,12203,3.0,2.0,,2681.7246376811595,9.0,1.0,79,4.0,3.0,,2581.0,9.0,1.0,8,2019-08-07 13:06:10,2498,1.0,1.0,,-100.72463768115949,0.0,0.0,-3.755964958738431
89087612,albany,12210,3.0,2.0,,1529.7333333333333,7.368421052631579,2.0,29,4.0,3.0,,2322.5652173913045,8.829268292682928,2.0,50,2018-02-05 22:00:42,2775,1.0,1.0,,792.8318840579711,1.4608472400513488,0.0,51.82811061130291
89087726,albany,12206,3.0,2.0,,1838.857142857143,6.571428571428571,,36,4.0,2.0,,1832.0,7.0,,2,2018-01-31 22:03:16,2582,1.0,0.0,,-6.85714285714289,0.4285714285714288,,-0.3729024238657569
89088002,albany,12206,3.0,1.0,1.0,1273.0,6.0,,4,3.0,2.0,,1273.0,5.222222222222222,,20,2021-06-21 01:33:11,898,0.0,1.0,,0.0,-0.7777777777777777,,0.0
89088125,albany,12206,3.0,2.0,1.0,2211.9565217391305,8.173913043478262,2.0,25,4.0,2.0,1.0,2420.7391304347825,8.130434782608695,2.0,31,2019-09-10 19:58:22,1994,1.0,0.0,0.0,208.78260869565202,-0.0434782608695663,0.0,9.438820638820632
89088191,albany,12206,3.0,2.0,1.0,1846.0,7.0,2.0,8,4.0,2.0,1.0,1874.2857142857142,7.0,2.0,24,2019-08-07 13:03:33,2033,1.0,0.0,0.0,28.28571428571422,0.0,0.0,1.53227054635505
89088194,albany,12203,3.0,2.0,1.0,,6.0,2.0,6,4.0,2.0,1.0,,7.0,2.0,6,2023-12-05 21:52:18,448,1.0,0.0,0.0,,1.0,0.0,
89088203,albany,12203,3.0,2.0,,1379.7,5.875,,76,3.0,3.0,,1450.0,6.0,,6,2022-07-08 05:21:40,2136,0.0,1.0,,70.29999999999995,0.125,,5.0953105747626255
89088230,albany,12203,3.0,2.0,,2088.8529411764707,6.0,,44,3.0,3.0,,2015.0,6.0,,3,2018-11-03 00:10:33,2493,0.0,1.0,,-73.85294117647072,0.0,,-3.535573985159325
89088326,albany,12206,3.0,2.0,,1412.0,6.0,,8,4.0,2.0,,1554.0,7.0,,14,2019-08-07 13:04:30,2029,1.0,0.0,,142.0,1.0,,10.056657223796034
89088365,albany,12203,3.0,2.0,,1320.0,5.0,,10,3.0,3.0,,1320.0,5.0,,2,2018-01-31 22:03:16,2155,0.0,1.0,,0.0,0.0,,0.0
89088425,albany,12206,3.0,3.0,,2011.857142857143,10.0,2.0,14,5.0,3.0,,,11.0,2.0,6,2023-12-01 07:50:06,2030,2.0,0.0,,,1.0,0.0,
89088443,albany,12208,4.0,3.0,2.0,3220.0,9.0,2.0,9,5.0,3.0,2.0,3320.0,9.0,4.0,6,2018-02-02 15:23:19,2824,1.0,0.0,0.0,100.0,0.0,2.0,3.1055900621118013
89088509,albany,12210,2.0,2.0,,1653.0,5.5,1.0,10,3.0,2.0,1.0,1656.0,6.0,,10,2022-06-06 18:50:57,996,1.0,0.0,,3.0,0.5,,0.18148820326678766
89088566,albany,12206,3.0,2.0,,1856.0,6.0,2.0,1,3.0,3.0,,1818.1960784313726,6.1568627450980395,2.0,75,2018-01-31 22:03:16,2582,0.0,1.0,,-37.8039215686274,0.15686274509803955,0.0,-2.036849222447597
89088584,albany,12210,2.0,2.0,,1964.0,6.0,2.0,14,3.0,2.0,,1954.625,6.666666666666667,2.0,48,2018-01-31 22:03:16,2585,1.0,0.0,,-9.375,0.666666666666667,0.0,-0.4773421588594705
89088803,albany,12210,2.0,2.0,,1542.0,7.0,2.0,6,3.0,2.0,,1595.75,7.0,2.0,18,2022-07-09 03:44:10,597,1.0,0.0,,53.75,0.0,0.0,3.485732814526589
89088830,albany,12206,3.0,2.0,1.0,1782.0666666666666,6.615384615384615,2.0,34,4.0,2.0,1.0,2034.0,8.0,2.0,3,2019-09-11 23:30:26,1994,1.0,0.0,0.0,251.9333333333334,1.384615384615385,0.0,14.137144139762825
89088935,albany,12210,3.0,2.0,1.0,1657.0,6.0,2.0,6,3.0,3.0,1.0,2018.0,8.0,2.0,10,2023-06-01 00:18:04,188,0.0,1.0,0.0,361.0,2.0,0.0,21.786360893180444
89088956,albany,12210,3.0,1.0,1.0,2549.3333333333335,7.666666666666667,2.0,22,3.0,2.0,1.0,2566.3333333333335,,2.0,6,2023-11-17 01:49:50,1721,0.0,1.0,0.0,17.0,,0.0,0.6668410041841003
89088971,albany,12206,2.0,1.0,1.0,1138.6363636363637,6.428571428571429,1.0,22,3.0,1.0,1.0,1706.25,6.75,,16,2019-08-07 13:03:33,2217,1.0,0.0,0.0,567.6136363636363,0.3214285714285712,,49.85029940119759
89089052,albany,12210,2.0,2.0,1.0,1873.0,7.0,,6,3.0,2.0,1.0,1911.4285714285713,7.0,1.0,18,2020-10-30 15:05:29,1215,1.0,0.0,0.0,38.42857142857133,0.0,,2.0517123026466275
89089127,albany,12206,3.0,1.0,1.0,1040.0,6.0,3.0,13,3.0,2.0,,1030.4761904761904,5.809523809523809,3.0,23,2022-04-22 18:46:34,1340,0.0,1.0,,-9.523809523809632,-0.1904761904761907,0.0,-0.9157509157509262
89089220,albany,12210,2.0,1.0,,1088.0,5.0,2.0,20,3.0,1.0,,1085.0,5.2,2.0,22,2023-02-23 02:06:30,1664,1.0,0.0,,-3.0,0.20000000000000018,0.0,-0.2757352941176471
89089361,albany,12210,3.0,2.0,,1415.7272727272727,6.0,1.8181818181818181,17,4.0,2.0,,1437.0,6.0,2.0,6,2023-12-06 05:02:10,2582,1.0,0.0,,21.272727272727252,0.0,0.18181818181818188,1.5026006549797712
89089463,albany,12210,2.0,1.0,,1548.0,5.0,,6,3.0,2.0,,,,,2,2025-03-01 14:14:51,451,1.0,1.0,,,,,
